bearing_id;observed_state;observed_time;is_failed;fault_mode;fault_mode_observed;fault_mode_source;hybrid_observation_type
75;F;14;True;Inner race;True;dataset1_full_trajectory;failed_time_with_fault_mode
76;O1;20;False;;False;not_observed_for_censored_bearing;censored_endpoint_state
77;F;9;True;Outer race;True;dataset1_full_trajectory;failed_time_with_fault_mode
78;H;20;False;;False;not_observed_for_censored_bearing;censored_endpoint_state
79;I2;20;False;;False;not_observed_for_censored_bearing;censored_endpoint_state
80;F;11;True;Ball defect;True;dataset1_full_trajectory;failed_time_with_fault_mode
81;F;11;True;Outer race;True;dataset1_full_trajectory;failed_time_with_fault_mode
82;O1;20;False;;False;not_observed_for_censored_bearing;censored_endpoint_state
83;H;20;False;;False;not_observed_for_censored_bearing;censored_endpoint_state
84;F;5;True;Inner race;True;dataset1_full_trajectory;failed_time_with_fault_mode
85;F;13;True;Inner race;True;dataset1_full_trajectory;failed_time_with_fault_mode
86;F;13;True;Inner race;True;dataset1_full_trajectory;failed_time_with_fault_mode
87;O2;20;False;;False;not_observed_for_censored_bearing;censored_endpoint_state
88;H;20;False;;False;not_observed_for_censored_bearing;censored_endpoint_state
89;F;12;True;Ball defect;True;dataset1_full_trajectory;failed_time_with_fault_mode
90;F;11;True;Outer race;True;dataset1_full_trajectory;failed_time_with_fault_mode
91;I1;20;False;;False;not_observed_for_censored_bearing;censored_endpoint_state
92;O2;20;False;;False;not_observed_for_censored_bearing;censored_endpoint_state
93;B2;20;False;;False;not_observed_for_censored_bearing;censored_endpoint_state
94;O2;20;False;;False;not_observed_for_censored_bearing;censored_endpoint_state
95;F;7;True;Inner race;True;dataset1_full_trajectory;failed_time_with_fault_mode
96;O2;20;False;;False;not_observed_for_censored_bearing;censored_endpoint_state
97;F;8;True;Outer race;True;dataset1_full_trajectory;failed_time_with_fault_mode
98;O1;20;False;;False;not_observed_for_censored_bearing;censored_endpoint_state
99;F;12;True;Ball defect;True;dataset1_full_trajectory;failed_time_with_fault_mode
